epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,245.171,0.96693,0.83388,1.3302,0.83438,0.8585,0.88756,0.6767,1.18721,0.97193,1.48961,0.000653226,0.000653226,0.000653226
45,250.179,0.99888,0.84835,1.31543,0.90274,0.825,0.88705,0.6958,1.09038,0.92954,1.4253,0.00062965,0.00062965,0.00062965
46,255.6,0.98586,0.77707,1.31863,0.82248,0.875,0.86262,0.57927,1.24995,1.06156,1.63474,0.000606074,0.000606074,0.000606074
47,261.086,0.92185,0.77161,1.31697,0.75011,0.83504,0.83326,0.60791,1.24112,1.18668,1.5846,0.000582497,0.000582497,0.000582497
48,266.151,0.95668,0.82531,1.30009,0.81415,0.7305,0.82735,0.60068,1.21214,1.08174,1.59461,0.000558921,0.000558921,0.000558921
49,271.967,0.97996,0.76497,1.32257,0.83792,0.675,0.79228,0.54869,1.33758,1.06214,1.69574,0.000535345,0.000535345,0.000535345
50,277.303,0.93144,0.76287,1.30473,0.73832,0.73163,0.78929,0.56454,1.21994,1.32595,1.57191,0.000511769,0.000511769,0.000511769
51,283.24,0.8942,0.74067,1.2699,0.82159,0.72037,0.8452,0.59965,1.25123,1.23507,1.64415,0.000488193,0.000488193,0.000488193
52,288.605,0.99721,0.76003,1.32461,0.96231,0.79044,0.88979,0.66112,1.1919,0.98774,1.56879,0.000464617,0.000464617,0.000464617
53,294.541,0.94774,0.74862,1.2977,0.9497,0.7375,0.85287,0.61585,1.26452,0.9647,1.63295,0.000441041,0.000441041,0.000441041
54,299.994,0.87058,0.71512,1.24921,0.91953,0.7375,0.86015,0.6134,1.33896,0.95457,1.71865,0.000417464,0.000417464,0.000417464
55,304.971,0.89529,0.7227,1.27502,0.97605,0.6945,0.84526,0.60896,1.21534,1.00177,1.54095,0.000393888,0.000393888,0.000393888
56,310.741,0.90298,0.71351,1.26144,0.76051,0.82165,0.84359,0.60065,1.22342,1.12141,1.61446,0.000370312,0.000370312,0.000370312
57,315.64,0.87245,0.65202,1.25666,0.8035,0.7961,0.80414,0.59696,1.2283,1.23012,1.65167,0.000346736,0.000346736,0.000346736
58,321.267,0.91257,0.72609,1.2807,0.78209,0.8,0.82065,0.62077,1.23025,1.11842,1.61844,0.00032316,0.00032316,0.00032316
59,326.534,0.83416,0.63582,1.23329,0.90222,0.7625,0.87229,0.62704,1.35065,0.99326,1.71951,0.000299584,0.000299584,0.000299584
60,331.55,0.90287,0.69735,1.2413,0.8736,0.80224,0.85263,0.63664,1.30191,1.00445,1.68571,0.000276008,0.000276008,0.000276008
61,339.106,0.90935,0.60715,1.30009,0.8451,0.8018,0.86236,0.64976,1.23082,1.10123,1.58786,0.000252431,0.000252431,0.000252431
62,344.142,0.8136,0.55732,1.2348,0.84979,0.82367,0.86015,0.69537,1.12906,1.1022,1.47438,0.000228855,0.000228855,0.000228855
63,349.84,0.88902,0.52914,1.32522,0.8202,0.825,0.85986,0.64072,1.19128,0.94549,1.5036,0.000205279,0.000205279,0.000205279
64,354.707,0.82736,0.48408,1.22941,0.76932,0.85135,0.88309,0.62781,1.25028,1.00963,1.52441,0.000181703,0.000181703,0.000181703
65,360.24,0.81538,0.47219,1.23178,0.83266,0.8125,0.88734,0.62606,1.2761,0.9815,1.5555,0.000158127,0.000158127,0.000158127
66,365.416,0.81694,0.45614,1.22554,0.86027,0.88071,0.9085,0.6516,1.31132,0.91354,1.62119,0.000134551,0.000134551,0.000134551
67,370.289,0.78052,0.42839,1.18024,0.85046,0.87241,0.90881,0.63799,1.36412,0.89057,1.70697,0.000110975,0.000110975,0.000110975
68,376.44,0.77976,0.41525,1.17397,0.88313,0.8375,0.91104,0.6542,1.3127,0.92094,1.67829,8.73984e-05,8.73984e-05,8.73984e-05
69,381.278,0.81108,0.42984,1.20256,0.95863,0.7684,0.90004,0.65347,1.30207,0.90371,1.67543,6.38223e-05,6.38223e-05,6.38223e-05
70,386.932,0.77106,0.40595,1.16982,0.95211,0.76552,0.89232,0.66407,1.29155,0.95973,1.65663,4.02461e-05,4.02461e-05,4.02461e-05
